date,price,volume
2023-02-13,1505.24,959644223.335073
2023-02-14,1555.71,1021642935.313975
2023-02-15,1674.92,928452953.945049
2023-02-16,1637.84,1408096156.866216
2023-02-17,1693.87,970891863.058295
2023-02-18,1691.62,452969773.61025
2023-02-19,1679.75,680092027.331298
2023-02-20,1703.27,765198951.963577
2023-02-21,1659.76,874136698.284591
2023-02-22,1643.14,861982489.016571
2023-02-23,1650.53,829754759.565515
2023-02-24,1607.8,831164574.11824
2023-02-25,1594.58,462128193.104393
2023-02-26,1641.36,499002379.520129
2023-02-27,1633.45,707841123.057607
2023-02-28,1605.23,640150766.311205
2023-03-01,1665.22,780632253.606366
2023-03-02,1647.86,694364877.504408
2023-03-03,1569.45,1166573996.744236
2023-03-04,1566.73,371865636.794456
2023-03-05,1564.58,469729098.462738
2023-03-06,1565.84,482146763.966397
2023-03-07,1561.96,682865640.744412
2023-03-08,1532.38,714552395.993279
2023-03-09,1437.32,1072396877.907578
2023-03-10,1426.44,1353741388.827259
2023-03-11,1471.97,1987926852.348374
2023-03-12,1580.33,1506839740.469654
2023-03-13,1673.45,1992277884.796341
2023-03-14,1699.4,2195733827.910122
2023-03-15,1649.96,1602460705.895695
2023-03-16,1673.73,1040043241.140285
2023-03-17,1789.27,1569265196.452905
2023-03-18,1758.84,1280189359.424549
2023-03-19,1780.68,972006261.580209
2023-03-20,1732.78,1205036446.951221
2023-03-21,1801.23,1324018564.211035
2023-03-22,1734.33,1581074700.20938
2023-03-23,1813.79,1312199315.577505
2023-03-24,1749.57,1001546184.532135
2023-03-25,1741.88,620341997.183512
2023-03-26,1773.88,627660488.27267
2023-03-27,1715.22,987197970.21984
2023-03-28,1772.99,935507384.149678
2023-03-29,1793.07,967342311.082234
2023-03-30,1793.61,1039397383.7804
2023-03-31,1821.52,1006896937.025254
2023-04-01,1820.79,497460628.076191
2023-04-02,1794.51,580909276.164171
2023-04-03,1810.51,1131436800.437073
2023-04-04,1870.37,1151551698.653268
2023-04-05,1908.69,1045846831.791563
2023-04-06,1872.41,743618300.024
2023-04-07,1863.72,528718750.378566
2023-04-08,1848.82,368792680.929658
2023-04-09,1858.92,529878494.840373
2023-04-10,1910.2,816212712.862947
2023-04-11,1889.86,774389695.845932
2023-04-12,1917.39,1195663632.078732
2023-04-13,2012.01,1333377092.124591
2023-04-14,2099.99,1877719501.123732
2023-04-15,2090.6,674260851.49151
2023-04-16,2118.67,673034613.415835
2023-04-17,2074.0,889433328.786508
2023-04-18,2103.5,867291463.569828
2023-04-19,1933.73,1547934187.85902
2023-04-20,1942.98,1218184973.299396
2023-04-21,1848.78,1306179482.091942
2023-04-22,1874.16,616579601.311765
2023-04-23,1862.0,641362428.689366
2023-04-24,1841.84,826968889.241232
2023-04-25,1866.1,839226421.378246
2023-04-26,1866.01,1695903568.960903
2023-04-27,1908.68,1383094120.67767
2023-04-28,1890.94,736203306.614156
2023-04-29,1907.8,346028241.295737
2023-04-30,1870.09,677913240.814662
2023-05-01,1830.73,818821593.694849
2023-05-02,1870.08,690907892.110455
2023-05-03,1905.12,871222153.959792
2023-05-04,1877.07,670584503.659619
2023-05-05,1993.3,1061183389.068112
2023-05-06,1896.33,1169939393.312777
2023-05-07,1870.4,787566158.198456
2023-05-08,1847.56,1157603209.761854
2023-05-09,1846.52,561440259.790895
2023-05-10,1840.84,1182254717.032215
2023-05-11,1794.3,944525427.027942
2023-05-12,1807.45,1002104362.594411
2023-05-13,1795.11,383397322.744781
2023-05-14,1799.21,393557662.80186
2023-05-15,1816.2,708011632.174709
2023-05-16,1824.21,565367254.106777
2023-05-17,1822.12,637776970.833855
2023-05-18,1800.56,531357170.827152
2023-05-19,1812.32,440291732.350879
2023-05-20,1819.42,232010582.306628
2023-05-21,1804.91,292535613.878124
2023-05-22,1817.35,430673377.916653
2023-05-23,1854.05,734581474.722466
2023-05-24,1799.89,761360360.597887
2023-05-25,1805.6,628769352.442571
2023-05-26,1827.79,501773973.879937
2023-05-27,1829.89,253710138.250563
2023-05-28,1908.64,705699886.229488
2023-05-29,1892.6,596236148.909885
2023-05-30,1900.59,519059196.247416
2023-05-31,1873.63,597360395.544034
2023-06-01,1861.78,504448237.27338
2023-06-02,1906.68,591169483.099447
2023-06-03,1892.06,282550389.946688
2023-06-04,1890.01,328166899.062354
2023-06-05,1810.5,1017689609.362256
2023-06-06,1884.64,907660359.425966
2023-06-07,1832.13,796856688.866713
2023-06-08,1845.64,349160385.10498
2023-06-09,1840.37,365037779.742887
2023-06-10,1751.53,1148312156.525596
2023-06-11,1752.76,385656545.950238
2023-06-12,1742.57,525467514.619609
2023-06-13,1740.12,495907901.668493
2023-06-14,1650.95,705586390.233981
2023-06-15,1666.96,611499814.542176
2023-06-16,1717.92,525393264.962201
2023-06-17,1727.76,366944179.320637
2023-06-18,1720.95,270948973.417484
2023-06-19,1737.11,422827205.775489
2023-06-20,1791.99,577529266.789217
2023-06-21,1889.11,1132377905.488902
2023-06-22,1872.01,791056016.146176
